dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.562739,10.427760,0.000495,0.049521,2.476041,123.802033,0.000058
0.020000,4.562748,10.427760,0.000503,0.000414,-2.455340,-246.569014,0.000041
0.020000,4.562764,10.427760,0.000520,0.000831,0.020835,123.808739,0.000008
0.020000,4.567775,10.427760,0.005531,0.250536,12.485268,623.221641,6.283143
0.020000,4.575732,10.427759,0.013488,0.397849,7.365665,-255.980126,6.283076
0.020000,4.585679,10.427757,0.023434,0.497332,4.974119,-119.577308,6.282991
0.020000,4.597615,10.427755,0.035371,0.596828,4.974813,0.034692,6.282888
0.020000,4.611542,10.427750,0.049298,0.696340,4.975595,0.039108,6.282766
0.020000,4.627459,10.427742,0.065215,0.795871,4.976538,0.047111,6.282624
0.020000,4.645368,10.427730,0.083124,0.895423,4.977613,0.053791,6.282462
0.020000,4.665268,10.427714,0.103024,0.995000,4.978838,0.061241,6.282279
0.020000,4.687160,10.427692,0.124916,1.094603,4.980170,0.066612,6.282073
0.020000,4.711045,10.427663,0.148800,1.194236,4.981638,0.073368,6.281844
0.020000,4.736923,10.427625,0.174678,1.293902,4.983294,0.082831,6.281589
0.020000,4.764795,10.427576,0.202551,1.393602,4.984993,0.084947,6.281309
0.020000,4.794661,10.427516,0.232417,1.493340,4.986910,0.095847,6.281000
0.020000,4.826524,10.427441,0.264280,1.593118,4.988930,0.100983,6.280662
0.020000,4.860382,10.427349,0.298138,1.692940,4.991059,0.106430,6.280293
0.020000,4.896238,10.427238,0.333995,1.792808,4.993397,0.116910,6.279890
0.020000,4.934092,10.427105,0.371849,1.892723,4.995796,0.119955,6.279453
0.020000,4.973946,10.426947,0.411703,1.992691,4.998400,0.130233,6.278979
0.020000,5.015800,10.426760,0.453557,2.092712,5.001045,0.132246,6.278465
0.020000,5.059655,10.426541,0.497413,2.192791,5.003950,0.145243,6.277910
0.020000,5.105513,10.426286,0.543272,2.292929,5.006889,0.146933,6.277311
0.020000,5.153375,10.425989,0.591134,2.393130,5.010061,0.158598,6.276666
0.020000,5.203241,10.425647,0.641002,2.493395,5.013254,0.159658,6.275972
0.020000,5.255114,10.425253,0.692877,2.593729,5.016699,0.172255,6.275226
0.020000,5.308995,10.424803,0.746759,2.694134,5.020247,0.177384,6.274426
0.020000,5.364885,10.424290,0.802652,2.794612,5.023887,0.182005,6.273568
0.020000,5.422786,10.423706,0.860555,2.895167,5.027768,0.194029,6.272649
0.020000,5.482698,10.423046,0.920471,2.995801,5.031692,0.196230,6.271667
0.020000,5.544624,10.422300,0.982401,3.096517,5.035798,0.205271,6.270618
0.020000,5.608565,10.421461,1.046348,3.197320,5.040127,0.216473,6.269499
0.020000,5.674522,10.420519,1.112312,3.298209,5.044451,0.216177,6.268305
0.020000,5.742498,10.419464,1.180296,3.399189,5.049023,0.228623,6.267034
0.020000,5.812493,10.418287,1.250301,3.500263,5.053691,0.233387,6.265682
0.020000,5.884510,10.416975,1.322330,3.601435,5.058617,0.246297,6.264244
0.020000,5.958550,10.415516,1.396384,3.702706,5.063526,0.245478,6.262718
0.020000,6.034614,10.413897,1.472465,3.804080,5.068680,0.257694,6.261098
0.020000,6.112705,10.412106,1.550577,3.905559,5.073991,0.265523,6.259380
0.020000,6.192823,10.410125,1.630720,4.007147,5.079397,0.270345,6.257561
0.020000,6.274971,10.407941,1.712896,4.108848,5.085034,0.281819,6.255635
0.020000,6.359150,10.405536,1.797110,4.210664,5.090785,0.287579,6.253599
0.020000,6.445361,10.402892,1.883362,4.312596,5.096612,0.291349,6.251446
0.020000,6.533607,10.399991,1.971655,4.414650,5.102717,0.305219,6.249174
0.020000,6.623887,10.396811,2.061991,4.516828,5.108874,0.307874,6.246775
0.020000,6.716204,10.393332,2.154374,4.619132,5.115235,0.318016,6.244247
0.020000,6.810559,10.389531,2.248805,4.721568,5.121763,0.326395,6.241582
0.020000,6.906953,10.385384,2.345288,4.824135,5.128380,0.330861,6.238777
0.020000,7.005386,10.380865,2.443825,4.926839,5.135160,0.339023,6.235825
0.020000,7.105859,10.375947,2.544418,5.029681,5.142143,0.349155,6.232721
0.020000,7.208373,10.370602,2.647072,5.132665,5.149160,0.350842,6.229459
0.020000,7.312928,10.364801,2.751788,5.235793,5.156441,0.364052,6.226034
0.020000,7.419524,10.358511,2.858569,5.339069,5.163791,0.367488,6.222439
0.020000,7.528161,10.351699,2.967419,5.442493,5.171212,0.371077,6.218669
0.020000,7.638837,10.344330,3.078340,5.546071,5.178867,0.382721,6.214718
0.020000,7.751552,10.336367,3.191336,5.649802,5.186546,0.383967,6.210579
0.020000,7.866305,10.327772,3.306410,5.753689,5.194373,0.391359,6.206246
0.020000,7.983092,10.318503,3.423565,5.857736,5.202316,0.397148,6.201713
0.020000,8.101912,10.308519,3.542804,5.961941,5.210280,0.398201,6.196973
0.020000,8.222762,10.297774,3.664130,6.066308,5.218344,0.403176,6.192020
0.020000,8.345636,10.286222,3.787546,6.170838,5.226475,0.406553,6.186848
0.020000,8.470532,10.273814,3.913057,6.275530,5.234608,0.406650,6.181450
0.020000,8.597443,10.260498,4.040665,6.380385,5.242786,0.408917,6.175819
0.020000,8.726363,10.246222,4.170373,6.485404,5.250929,0.407118,6.169949
0.020000,8.857285,10.230929,4.302185,6.590585,5.259039,0.405532,6.163833
0.020000,8.990199,10.214562,4.436103,6.695927,5.267088,0.402455,6.157466
0.020000,9.125097,10.197060,4.572132,6.801427,5.275042,0.397667,6.150840
