dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.562768,9.927760,0.000495,0.049521,2.476041,123.802033,0.000058
0.020000,4.562768,9.927760,0.002476,0.148562,4.952081,123.802033,0.000041
0.020000,4.562768,9.927760,0.006438,0.247604,4.952081,0.000000,0.000008
0.020000,4.567754,9.927760,0.012380,0.346646,4.952081,0.000000,6.283143
0.020000,4.575677,9.927759,0.020304,0.445687,4.952081,-0.000000,6.283076
0.020000,4.585581,9.927757,0.030208,0.544729,4.952081,0.000000,6.282991
0.020000,4.597466,9.927755,0.042093,0.643771,4.952081,0.000000,6.282888
0.020000,4.611332,9.927750,0.055959,0.742812,4.952081,0.000000,6.282766
0.020000,4.627179,9.927742,0.071805,0.841854,4.952081,0.000000,6.282624
0.020000,4.645006,9.927730,0.089633,0.940895,4.952081,-0.000000,6.282462
0.020000,4.664815,9.927714,0.109441,1.039937,4.952081,0.000000,6.282279
0.020000,4.686604,9.927692,0.131230,1.138979,4.952081,0.000000,6.282073
0.020000,4.710374,9.927663,0.155000,1.238020,4.952081,-0.000000,6.281844
0.020000,4.736125,9.927625,0.180751,1.337062,4.952081,0.000000,6.281589
0.020000,4.763856,9.927577,0.208483,1.436104,4.952081,-0.000000,6.281309
0.020000,4.793569,9.927517,0.238195,1.535145,4.952081,0.000000,6.281000
0.020000,4.825262,9.927442,0.269888,1.634187,4.952081,0.000000,6.280662
0.020000,4.858936,9.927351,0.303563,1.733228,4.952081,-0.000000,6.280293
0.020000,4.894591,9.927241,0.339218,1.832270,4.952081,0.000000,6.279890
0.020000,4.932226,9.927109,0.376853,1.931312,4.952081,0.000000,6.279453
0.020000,4.971843,9.926951,0.416470,2.030353,4.952081,-0.000000,6.278979
0.020000,5.013440,9.926766,0.458068,2.129395,4.952081,0.000000,6.278465
0.020000,5.057018,9.926548,0.501646,2.228437,4.952081,0.000000,6.277910
0.020000,5.102576,9.926294,0.547205,2.327478,4.952081,-0.000000,6.277311
0.020000,5.150115,9.926000,0.594745,2.426520,4.952081,0.000000,6.276666
0.020000,5.199635,9.925660,0.644266,2.525561,4.952081,-0.000000,6.275972
0.020000,5.251135,9.925269,0.695767,2.624603,4.952081,0.000000,6.275226
0.020000,5.304615,9.924822,0.749250,2.723645,4.952081,-0.000000,6.274426
0.020000,5.360076,9.924313,0.804713,2.822686,4.952081,-0.000000,6.273568
0.020000,5.417518,9.923734,0.862157,2.921728,4.952081,0.000000,6.272649
0.020000,5.476939,9.923079,0.921582,3.020770,4.952081,-0.000000,6.271667
0.020000,5.538340,9.922340,0.982988,3.119811,4.952081,0.000000,6.270618
0.020000,5.601722,9.921508,1.046375,3.218853,4.952081,-0.000000,6.269499
0.020000,5.667082,9.920574,1.111742,3.317894,4.952081,0.000000,6.268305
0.020000,5.734423,9.919530,1.179091,3.416936,4.952081,0.000000,6.267034
0.020000,5.803742,9.918363,1.248420,3.515978,4.952081,0.000000,6.265682
0.020000,5.875040,9.917064,1.319730,3.615019,4.952081,0.000000,6.264244
0.020000,5.948317,9.915621,1.393020,3.714061,4.952081,-0.000000,6.262718
0.020000,6.023571,9.914019,1.468292,3.813103,4.952081,0.000000,6.261098
0.020000,6.100803,9.912247,1.545545,3.912144,4.952081,0.000000,6.259380
0.020000,6.180012,9.910290,1.624778,4.011186,4.952081,0.000000,6.257561
0.020000,6.261198,9.908131,1.705992,4.110228,4.952081,-0.000000,6.255635
0.020000,6.344359,9.905755,1.789187,4.209269,4.952081,0.000000,6.253599
0.020000,6.429495,9.903144,1.874363,4.308311,4.952081,0.000000,6.251446
0.020000,6.516604,9.900280,1.961519,4.407352,4.952081,-0.000000,6.249174
0.020000,6.605686,9.897143,2.050657,4.506394,4.952081,0.000000,6.246775
0.020000,6.696740,9.893711,2.141775,4.605436,4.952081,0.000000,6.244247
0.020000,6.789764,9.889964,2.234874,4.704477,4.952081,0.000000,6.241582
0.020000,6.884756,9.885877,2.329954,4.803519,4.952081,0.000000,6.238777
0.020000,6.981714,9.881425,2.427015,4.902561,4.952081,0.000000,6.235825
0.020000,7.080637,9.876584,2.526057,5.001602,4.952081,0.000000,6.232721
0.020000,7.181523,9.871324,2.627079,5.100644,4.952081,-0.000000,6.229459
0.020000,7.284368,9.865617,2.730082,5.199685,4.952081,0.000000,6.226034
0.020000,7.389170,9.859433,2.835067,5.298727,4.952081,0.000000,6.222439
0.020000,7.495925,9.852739,2.942032,5.397769,4.952081,0.000000,6.218669
0.020000,7.604630,9.845501,3.050977,5.496810,4.952081,0.000000,6.214718
0.020000,7.715281,9.837685,3.161904,5.595852,4.952081,-0.000000,6.210579
0.020000,7.827873,9.829251,3.274811,5.694894,4.952081,0.000000,6.206246
0.020000,7.942401,9.820162,3.389700,5.793935,4.952081,0.000000,6.201713
0.020000,8.058859,9.810376,3.506569,5.892977,4.952081,0.000000,6.196973
0.020000,8.177242,9.799851,3.625419,5.992018,4.952081,0.000000,6.192020
0.020000,8.297542,9.788541,3.746250,6.091060,4.952081,-0.000000,6.186848
0.020000,8.419752,9.776399,3.869061,6.190102,4.952081,0.000000,6.181450
0.020000,8.543863,9.763377,3.993854,6.289143,4.952081,0.000000,6.175819
0.020000,8.669866,9.749424,4.120627,6.388185,4.952081,0.000000,6.169949
0.020000,8.797751,9.734486,4.249381,6.487227,4.952081,0.000000,6.163833
0.020000,8.927505,9.718508,4.380116,6.586268,4.952081,-0.000000,6.157466
0.020000,9.059118,9.701433,4.512832,6.685310,4.952081,0.000000,6.150840
0.020000,9.192574,9.683200,4.647528,6.784351,4.952081,0.000000,6.143949
0.020000,9.327860,9.663749,4.784206,6.883393,4.952081,-0.000000,6.136788
0.020000,9.464959,9.643014,4.922864,6.982435,4.952081,0.000000,6.129349
0.020000,9.603853,9.620929,5.063503,7.081476,4.952081,-0.000000,6.121629
0.020000,9.744523,9.597427,5.206123,7.180518,4.952081,0.000000,6.113620
0.020000,9.886947,9.572436,5.350724,7.279560,4.952081,0.000000,6.105318
0.020000,10.031103,9.545883,5.497305,7.378601,4.952081,0.000000,6.096719
0.020000,10.176966,9.517694,5.645868,7.477643,4.952081,0.000000,6.087817
0.020000,10.324510,9.487792,5.796411,7.576684,4.952081,-0.000000,6.078608
0.020000,10.473704,9.456099,5.948935,7.675726,4.952081,0.000000,6.069090
0.020000,10.624518,9.422533,6.103440,7.774768,4.952081,0.000000,6.059258
0.020000,10.776918,9.387013,6.259926,7.873809,4.952081,0.000000,6.049112
0.020000,10.930869,9.349454,6.418393,7.972851,4.952081,0.000000,6.038649
0.020000,11.086331,9.309773,6.578840,8.071893,4.952081,-0.000000,6.027869
0.020000,11.243264,9.267883,6.741268,8.170934,4.952081,0.000000,6.016771
0.020000,11.401623,9.223696,6.905677,8.269976,4.952081,0.000000,6.005356
