dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.562797,9.427760,0.000495,0.049521,2.476041,123.802033,0.000058
0.020000,4.562789,9.427760,0.000503,0.000414,-2.455340,-246.569014,0.000041
0.020000,4.562772,9.427760,0.000520,0.000831,0.020835,123.808739,0.000008
0.020000,4.567733,9.427760,0.005481,0.248030,12.359988,616.957659,6.283143
0.020000,4.575623,9.427759,0.013370,0.394484,7.322653,-251.866779,6.283076
0.020000,4.585484,9.427757,0.023232,0.493084,4.930032,-119.631022,6.282991
0.020000,4.597318,9.427755,0.035066,0.591672,4.929383,-0.032463,6.282888
0.020000,4.611123,9.427750,0.048870,0.690243,4.928554,-0.041471,6.282766
0.020000,4.626898,9.427742,0.064646,0.788795,4.927615,-0.046930,6.282624
0.020000,4.644645,9.427731,0.082393,0.887326,4.926541,-0.053711,6.282462
0.020000,4.664362,9.427714,0.102109,0.985833,4.925346,-0.059741,6.282279
0.020000,4.686048,9.427693,0.123796,1.084313,4.923989,-0.067843,6.282073
0.020000,4.709703,9.427664,0.147451,1.182763,4.922497,-0.074588,6.281844
0.020000,4.735327,9.427626,0.173075,1.281181,4.920924,-0.078672,6.281589
0.020000,4.762918,9.427578,0.200666,1.379564,4.919123,-0.090049,6.281309
0.020000,4.792476,9.427518,0.230224,1.477909,4.917268,-0.092750,6.281000
0.020000,4.824000,9.427444,0.261748,1.576214,4.915244,-0.101184,6.280662
0.020000,4.857490,9.427353,0.295238,1.674475,4.913058,-0.109335,6.280293
0.020000,4.892943,9.427244,0.330692,1.772691,4.910807,-0.112540,6.279890
0.020000,4.930360,9.427112,0.368109,1.870858,4.908344,-0.123131,6.279453
0.020000,4.969739,9.426956,0.407488,1.968974,4.905812,-0.126608,6.278979
0.020000,5.011080,9.426771,0.448829,2.067035,4.903046,-0.138292,6.278465
0.020000,5.054380,9.426555,0.492130,2.165040,4.900263,-0.139169,6.277910
0.020000,5.099639,9.426303,0.537389,2.262985,4.897238,-0.151263,6.277311
0.020000,5.146855,9.426010,0.584607,2.360869,4.894166,-0.153559,6.276666
0.020000,5.196028,9.425673,0.633781,2.458685,4.890839,-0.166375,6.275972
0.020000,5.247155,9.425285,0.684909,2.556435,4.887481,-0.167869,6.275226
0.020000,5.300236,9.424841,0.737992,2.654114,4.883946,-0.176793,6.274426
0.020000,5.355268,9.424336,0.793026,2.751718,4.880220,-0.186281,6.273568
0.020000,5.412250,9.423762,0.850011,2.849247,4.876449,-0.188547,6.272649
0.020000,5.471180,9.423112,0.908945,2.946696,4.872438,-0.200559,6.271667
